序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,原料药分为：抗生素，维生素，甾体，降压，解热镇痛,,,,,,,,,,,ABCDEFGH,x101-原料药
2,科伦药业,抗生素-头孢,四川-成都,头孢具有抗菌杀菌、消炎、治疗感染、预防感染扩散、减轻感染症状等作用,,,,,,,,ABCDEFGH,x101-原料药
3,川宁生物-300,抗生素-头孢,新疆-伊利,,,,,,,,,ABCDEFGH,x101-原料药
4,健康元,抗生素-头孢,深圳,,,,,,,,,ABCDEFGH,x101-原料药
5,国药现代,抗生素-头孢,上海,,,,,,,,,ABCDEFGH,x101-原料药
6,华北制药,抗生素-头孢,河北-石家庄,,,,,,,,,ABCDEFGH,x101-原料药
7,普洛药业,抗生素-头孢,浙江-金华,,,,,,,,,ABCDEFGH,x101-原料药
8,新天地-300,抗生素-头孢,河南-许昌,,,,,,,,,ABCDEFGH,x101-原料药
9,东亚药业,抗生素-头孢,浙江-台州,,,,,,,,,ABCDEFGH,x101-原料药
10,科伦药业,抗生素-青霉素,四川-成都,,,,,,,,,ABCDEFGH,x101-原料药
11,川宁生物-300,抗生素-青霉素,新疆-伊利,,,,,,,,,ABCDEFGH,x101-原料药
12,国药现代,抗生素-青霉素,上海,,,,,,,,,ABCDEFGH,x101-原料药
13,川宁生物-300,抗生素-红霉素,新疆-伊利,,,,,,,,,ABCDEFGH,x101-原料药
14,丽珠集团,抗生素-红霉素,广东-珠海,,,,,,,,,ABCDEFGH,x101-原料药
15,海翔药业,抗生素-克林霉素,浙江-台州,,,,,,,,,ABCDEFGH,x101-原料药
16,普洛药业,抗生素-克林霉素,浙江-金华,,,,,,,,,ABCDEFGH,x101-原料药
17,向日葵-300,抗生素-克林霉素,浙江-绍兴,,,,,,,,,ABCDEFGH,x101-原料药
18,鲁抗医药,抗生素-其他,济宁,兽用抗生素第一,,,,,,,,ABCDEFGH,x101-原料药
19,新和成,维生素-维生素A,浙江-绍兴,,,,,,,,,ABCDEFGH,x101-原料药
20,浙江医药,维生素-维生素A,浙江-绍兴,,,,,,,,,ABCDEFGH,x101-原料药
21,安迪苏,维生素-维生素A,北京,主营：动物营养添加剂,安迪苏（600299.SH）是中国中化旗下专注于动物营养领域的全球领先企业，拥有80余年发展历史，是全球第二大蛋氨酸生产商及全球为数不多可同时生产液体和固体蛋氨酸的企业,蛋氨酸：这是安迪苏的核心业务。公司是全球第二大蛋氨酸生产商，也是全球极少数能够同时生产液体和固体蛋氨酸的企业。其南京工厂是全球规模最大、技术最先进的液体蛋氨酸生产平台之一,"维生素：提供全系列的饲料级维生素解决方案，在行业内拥有独特的竞争地位1。
",,,,,ABCDEFGH,x101-原料药
22,金达威,维生素-维生素A,福建-厦门,,,,,,,,,ABCDEFGH,x101-原料药
23,天新药业,维生素-维生素B1,江西-景德镇,,,,,,,,,ABCDEFGH,x101-原料药
24,兄弟科技,维生素-维生素B1,浙江-嘉兴,,,,,,,,,ABCDEFGH,x101-原料药
25,亿帆医药,维生素-维生素B5,浙江-杭州,,,,,,,,,ABCDEFGH,x101-原料药
26,兄弟科技,维生素-维生素B5,浙江-嘉兴,维生素B5市占率全球第5,,,,,,,,ABCDEFGH,x101-原料药
27,圣达生物,维生素-维生素B7,浙江-台州,,,,,,,,,ABCDEFGH,x101-原料药
28,新和成,维生素-维生素B7,浙江- 绍兴,,,,,,,,,ABCDEFGH,x101-原料药
29,天新药业,维生素-维生素B7,江西-景德镇,,,,,,,,,ABCDEFGH,x101-原料药
30,华北制药,维生素-维生素B12,河北-石家庄,,,,,,,,,ABCDEFGH,x101-原料药
31,新和成,维生素C,浙江-绍兴,,,,,,,,,ABCDEFGH,x101-原料药
32,东北制药,维生素C,辽宁-沈阳,,,,,,,,,ABCDEFGH,x101-原料药
33,花园生物-300,维生素D3,浙江-金华,,,,,,,,,ABCDEFGH,x101-原料药
34,新和成,维生素D3,浙江-绍兴,,,,,,,,,ABCDEFGH,x101-原料药
35,金达威,维生素D3,福建-厦门,,,,,,,,,ABCDEFGH,x101-原料药
36,浙江医药,维生素D3,浙江-绍兴,,,,,,,,,ABCDEFGH,x101-原料药
37,新和成,维生素E,浙江-绍兴,,,,,,,,,ABCDEFGH,x101-原料药
38,浙江医药,维生素E,浙江-绍兴,,,,,,,,,ABCDEFGH,x101-原料药
39,北大医药,维生素E,重庆,,,,,,,,,ABCDEFGH,x101-原料药
40,能特科技,维生素E,湖北-荆州,,,,,,,,,ABCDEFGH,x101-原料药
41,兄弟科技,维生素K3,浙江-嘉兴,维生素K3产能全球第一，,,,,,,,,ABCDEFGH,x101-原料药
42,振华股份,维生素K3,湖北-黄石,,,,,,,,,ABCDEFGH,x101-原料药
43,共同药业,甾体-中间体,湖北-襄阳,,主要应用避孕,甾体原料药是指用于合成甾体类药物的基础化学物质，甾体类药物包括激素类药物和避孕药等。这些原料药通常来源于植物甾体或动物胆固醇，经过化学合成或生物转化过程得到。甾体原料药具有重要的医疗用途，广泛应用于抗炎、免疫抑制、性激素治疗以及避孕等领域。例如，可的松和泼尼松是常用的甾体类抗炎药，而炔诺酮和左炔诺孕酮则用于避孕药。甾体原料药的生产需要精确的化学控制和严格的质量标准，以确保最终药物的安全性和有效性。,,,,,,ABCDEFGH,x101-原料药
44,赛托生物-300,甾体-中间体,山东-菏泽,,,,,,,,,ABCDEFGH,x101-原料药
45,仙琚制药,载体-原料药,浙江-台州,,,,,,,,,ABCDEFGH,x101-原料药
46,津药药业,载体-原料药,天津,主营： 原料药 + 制剂,"原料药（API）：
地位：国内皮质激素类原料药的开拓者，产能和市场占有率领先。
主要产品：包括地塞米松系列、泼尼松系列、甲泼尼龙系列、倍他米松系列等70余个品种。
市场：具有极强的国际竞争力，60%以上出口到亚洲、欧洲、美洲等全球70多个国家和地区","制剂（成品药）：
利用自产原料药优势，生产片剂、注射剂、软膏剂等10余个剂型的药品。
重点领域：重点布局眼科（如二氟泼尼酯滴眼液）、皮肤科（如戊酸二氟可龙乳膏）、急抢救等领域",,,,,,ABCDEFGH,x101-原料药
