序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,电力设备分为,一次设备和二次设备+设备检测,,一次设备，即直接参与电能的生产、输送和分配的高压电气设备，包括发电机、变压器、断路器、隔离开关、电抗器、电力电缆，以及母线和输电线路等。而二次设备，则是对一次设备的工作状态进行监测、控制、调节、保护，并为运行和维护人员提供必要的运行工况和生产指挥信号的低压电气设备，涵盖监察测量仪表、控制及信号器具、继电保护装置、自动装置和远动装置等,,,,,,,,ABCDEFGH,x14-电力设备
2,特变电工,一次设备-变压器,新疆-昌吉,电力变压器市占率第1,,,,,,,,ABCDEFGH,x14-电力设备
3,许继电气,一次设备-变压器,河南-许昌,电力变压器市占率第2,,,,,,,,ABCDEFGH,x14-电力设备
4,保变电气,一次设备-变压器,河北-保定,电力变压器市占率第3,,,,,,,,ABCDEFGH,x14-电力设备
5,顺钠股份,一次设备-变压器,广东-佛山,电力变压器市占率第4,主营： 变压器,干式变压器（核心拳头产品），箱式变电站（新能源核心设备），开关柜：电压等级覆盖400V～40.5kV，是施耐德的卓越合作伙伴，广泛应用于数据中心、半导体工厂,,,,,,ABCDEFGH,x14-电力设备
6,北京科锐,一次设备-变压器,北京-海淀,电力变压器市占率第5,,,,,,,,ABCDEFGH,x14-电力设备
7,中国西电,一次设备-变压器,陕西-西安,电力变压器市占率第6,,,,,,,,ABCDEFGH,x14-电力设备
8,三变科技,一次设备-变压器,浙江-台州,电力变压器市占率第7,,,,,,,,ABCDEFGH,x14-电力设备
9,伊戈尔,一次设备-变压器,广东-佛山,,,,,,,,,ABCDEFGH,x14-电力设备
10,九洲集团-300,一次设备-变压器,黑龙江-哈尔滨,公司产品包含变压器,,,,,,,,ABCDEFGH,x14-电力设备
11,扬电科技-300,一次设备-变压器,江苏-泰州,国内较早生产非晶变压器的企业,,,,,,,,ABCDEFGH,x14-电力设备
12,望变电气,一次设备-变压器,重庆-长寿,变压器原材料取向硅销售龙头企业,,,,,,,,ABCDEFGH,x14-电力设备
13,明阳电气-300,一次设备-变压器,广东-中山,变压器营收6.9亿,,,,,,,,ABCDEFGH,x14-电力设备
14,国电南瑞,一次设备-换流阀,江苏-南京,换流阀市占率第1,,,,,,,,ABCDEFGH,x14-电力设备
15,换流阀科普,,,换流阀是直流输电工程的核心设备，通过依次将三相交流电压连接到直流端得到期望的直流电压和实现对功率的控制，其价值约占换流站成套设备总价的22～25%。,,,,,,,,ABCDEFGH,x14-电力设备
16,许继电气,一次设备-换流阀,河南-许昌,换流阀市占率第2,,,,,,,,ABCDEFGH,x14-电力设备
